"Tipologia";"Nº de Registo";"Nome";"Marcas";"Categoria";"Estado da Classificação";"Capacidade";"Número de Unidades de Alojamento";"Número de Unidades de Alojamento com Mobilidade Reduzida";"Localização (Endereço)";"Localização (Código Postal)";"Localização (Localidade)";"Localização (Concelho)";"Localização (Distrito)";"Localização (Latitude)";"Localização (Longitude)";"Contactos (Telefone)";"Contacto (Fax)";"Contacto (Email)";"Contacto (Página Internet)";"DRT/ERT";"NUT II";"NUT III";"Periodos de Encerramento";"Utilidade Turística";"Imóvel Classificado de Interesse";"Número de Restaurantes";"Salas de reunião";"Capacidade das salas de reunião";"SPA";"Piscinas Exteriores";"Piscinas Interiores";"Ténis";"Ginásio";"Golfe";"Outras";"Tipo de Certificação Qualidade";"Tipo de Certificação Ambiental";"Entidade Exploradora";"Entidades Públicas Financiadoras"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5384";"Quinta Gonçalves";;;"Classificado em auditoria";"10";"5";"0";"Vale de Lobo";"8550-167";"Marmelete";"Monchique";"Faro";;;"966672461";;"ananortegoncalves@gmail.com";;"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"ANA MARIA NORTE GONÇALVES FERREIRA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"4943";"Quinta Grande da Raposeira";"Turismo Rural";;"Classificado em auditoria";"12";"6";"0";"Lugar da Raposeira, Caixa 104";"4930-639";"Valença";"Valença";"Viana do Castelo";;;"251818087";;"sombradasmuralhas.turismorural@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";"2015-09-01-&gt;2016-04-29 Ano em causa:2015, ";"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"A SOMBRA DAS MURALHAS - TURISMO RURAL LDA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4687";"Quinta Lama de Cima";;;"Classificado em auditoria";"10";"5";"0";"Rua da Lama, nº 150";"4820-764";"Arões (São Romão)";"Fafe";"Braga";;;"253591431";;"geral@quintalamadecima.pt";"www.quintalamadecima.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Ave";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Sim";"Não";"Não";"Não";;;"QUINTA LAMA DE CIMA UNIPESSOAL LDA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"4801";"Quinta Lamosa agroturismo";"Quinta Lamosa";;"Classificado em auditoria";"6";"3";"1";"Lugar da Zebra - Gondoriz";"4970-182";"Gondoriz Avv";"Arcos de Valdevez";"Viana do Castelo";;;"914509049";;"quintalamosa@gmail.com";"www.quintalamosa.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Quinta Lamosa agroturismo, unipessoal,Lda";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5343";"Quinta Manel da Gaita";;;"Classificado em projeto";"30";"10";"1";"Rua 25 de Abril, nº 22 Ribeira Ruiva";"2350-397";"Ribeira Branca";"Torres Novas";"Santarém";;;"966367858";"249836291";"nunovitornunes@gmail.com";"www.quintadomaneldagaita.pt/";"TURISMO DE LISBOA E VALE DO TEJO";"Centro (P)";"Médio Tejo";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"NUNO VITOR NUNES UNIPESSOAL LDA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4969";"Quinta Manhãs Douro";;;"Classificado em auditoria";"13";"7";"1";"Rua do Valado, s/n";"5060-261";"Provesende";"Sabrosa";"Vila Real";;;"254731041";;"geral@manhasdouro.pt";"www.manhasdouro.pt";"TURISMO DO DOURO";"Norte";"Douro";;"Não";"---";"0";"Sim";"18";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"MANHÃS D OURO - ACTIVIDADES TURISTICAS LDA";"Programa de Desenvolvimento Rural (PRODER), "
"Estabelecimento Hoteleiro - Hotel";"3114(Em análise pelo Turismo de Portugal, I.P.)";"Quinta Mirabela";"Quinta Mirabela";"*****";"Classificado em auditoria";"24";"24";"1";"Caminho do Monte, 105-107";"9050-288";"Funchal";"Funchal";"Ilha da Madeira";"32.650519";"-16.908400";"291780210";"291780219";"geral@quinta-mirabela.com";"www.quinta-mirabela.com";"Secretaria Regional do Turismo e Transportes - RA Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";;"Sim";"Regional";"2";"Sim";"12";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";"haccp";;"Quinta Mirabela";"Turismo de Portugal, I.P., "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"3836";"QUINTA MONTE DA ROCHA";;;"Classificado em auditoria";"16";"8";"8";"estrada das vendas novas nº 40";"8100-399";"Tôr";"Loulé";"Faro";"37.201277";"-8.030675";"289417832";"289417832";"quintamontedarocha@gmail.com";"www:quintamontedarocha.com";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"0";"Sim";"10";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"LUIS MANUEL GUERREIRO MARTINS";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5095";"Quinta no Pinhal";"Quinta no Pinhal";;"Classificado em auditoria";"4";"2";"0";"Pereiro de Baixo";"3350-094";"Vila Nova de Poiares";"Vila Nova de Poiares";"Coimbra";;;"239423637";;"info@qnpportugal.eu";"www.qnpportugal.eu";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Pinhal Interior Norte";;"Não";"---";"0";"Sim";"12";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"A MANSÃO NO PINHAL TURISMO NO ESPAÇO RURAL UNIPESSOAL, LDA.";
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"4093";"Quinta Nova de Nossa Senhora do Carmo";;;"Classificado em auditoria";"22";"11";"1";"Quinta Nova";"5085-222";"Covas do Douro";"Sabrosa";"Vila Real";"41.161274";"-7.600737";"254730430";"254730431";"hotelquintanova@amorim.com";"www.quintanova.com";"TURISMO DO DOURO";"Norte";"Douro";;"Não";"---";"0";"Sim";"40";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"QUINTA NOVA DE NOSSA SENHORA DO CARMO, S.A.";"Turismo de Portugal, I.P., "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4880";"Quinta Olivia";"Quinta Olivia";;"Classificado em auditoria";"10";"5";"0";"Lugar de Casal, Ruivos";"4980-653";"Ruivos";"Ponte da Barca";"Viana do Castelo";;;"918960740";;"info@quintaolivia.com";"quintaolivia.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"STEPHAN VAN DER KLEI";
"Apartamento Turístico";"1388";"Quinta Paraíso da Mia";;"***";"Classificado em auditoria";"40";"14";"0";"Rua José da Conceição Conde";"8600-169";"Luz Lgs";"Lagos";"Faro";"37.087869";"-8.725945";"282789612";"282788110";"paraiso.mia@mail.telepac.pt";"www.quintaparaisodamia.com";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"1";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"PARAISO CONSTANTE - INVESTIMENTOS TURISTICOS LDA";
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"3995";"Quinta Pedras de Baixo";"Fernando Antunes Cardoso Unipessoal, Lda";;"Classificado em auditoria";"12";"6";"1";"Rua de Santa Marta, 3262, Longos, Guimarães";"4805-209";"Longos";"Guimarães";"Braga";"41.520555";"-8.368031";"919375011";"253577447";"geral@pedrasdebaixo.pt";"www.pedrasdebaixo.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Ave";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Quinta Pedras de Baixo";"Programa de Desenvolvimento Rural (PRODER), "
"Quintas da Madeira";"3707";"Quinta Perestrello";"Charming Hotels Madeira";"****";"Classificado em auditoria";"72";"36";"1";"Rua Dr Pita, nº 3";"9000-089";"Funchal";"Funchal";"Ilha da Madeira";"32.643014";"-16.924675";"291706700";"291706706";"quintaperestrelo@charminghotelsmadeira.com";"www.charminghotelsmadeira.com";"Secretaria Regional do Turismo e Transportes - RA Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";;"Não";"---";"1";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"UNIDADES TURISTICAS M L ARAUJO SA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4191";"Quinta Pero Vicente";"Quinta Pero Vicente";;"Classificado em auditoria";"6";"3";"0";"Pero Vicente, Rogil, Aljezur";"8670-440";"Rogil";"Aljezur";"Faro";"37.385708";"-8.814898";"962416885";;"geral@terrasdemouros.pt";"www.terrasdemouros.pt";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Sim";;;"TERRAS DE MOUROS TURISMO ALTERNATIVO LDA";
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"6004";"Quinta Ponte da Capinha";"Quinta Ponte da Capinha";;"Classificado em auditoria";"13";"7";"0";"Estrada Municipal do Salgueiro, Apartado 479";"6230-145";"Capinha";"Fundão";"Castelo Branco";;;"962812497";;"julia@quintapontedacapinha.com";;"TURISMO SERRA DA ESTRELA";"Centro (P)";"Cova da Beira";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"JULIA MARIA CARREGA FERNANDES";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"6390";"QUINTA POUZADA";;;"Classificado em auditoria";"6";"3";"0";"QUINTA POUZADA VITORINO DAS DONAS";"4990-800";"Vitorino das Donas";"Ponte de Lima";"Viana do Castelo";;;"914382000";;"quintapouzada@netcabo.pt";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";"2016-10-01-&gt;2017-04-01 Ano em causa:2016, ";"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"JOSE DE SA BRAAMCAMP SOBRAL";
"Estabelecimento Hoteleiro - Hotel";"2894";"QUINTA PROGRESSO";"QUINTA PROGRESSO";"****";"Classificado em auditoria";"23";"15";"0";"MACIEIRA A VELHA";"3730-289";"Vale de Cambra";"Vale de Cambra";"Aveiro";"40.844544";"-8.378727";"256410890";"256410899";"quintaprogresso@netvisao.pt";"www.quintaprogresso.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Entre Douro e Vouga";;"Não";"Regional";"0";"Sim";"300";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";"ISO 9001:2008";;"CASA FERREIRA RESTAURANTE LDA";"Turismo de Portugal, I.P., "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4879";"Quinta Rio de Oliveira, Lda";;;"Classificado em auditoria";"8";"4";"1";"Quinta Rio de Oliveira, Rua Vale Matoso";"3420-070";"Covas Tbu";"Tábua";"Coimbra";;;"926092559";;"verstraete.slembrouck@gmail.com";;"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Pinhal Interior Norte";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"QUINTA RIO DE OLIVEIRA LDA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5133";"Quinta Rosa Amarela";"Quinta Rosa Amarela";;"Classificado em auditoria";"14";"7";"1";"Cabeça de Aguia CP656";"8100-070";"Boliqueime";"Loulé";"Faro";;;"+351 919902643";;"hello@quintarosaamarela.com";"www.quintarosaamarela.com";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Quinta Rosa Amarela lda";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"4014";"Quinta Rota D'oliveira";"Quinta Rota D'oliveira";;"Classificado em auditoria";"12";"6";"0";"Rua Formosa, n.º 13, Lugar de Rendufe";"5445-051";"Santa Maria de Emeres";"Valpaços";"Vila Real";"0.000000";"0.000000";"278 789 382";;"info@quintarotadoliveira.com";"www.quintarotadoliveira.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Sim";;;"Osvaldo Matias";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5689";"Quinta Santo António do Cardal";;;"Classificado em auditoria";"14";"7";"0";"Rua Dr. Contente Ribeiro, 234 - Reveles";"3140-016";"Abrunheira";"Montemor-o-Velho";"Coimbra";;;"919228322";;"geral@quintasacardal.pt";;"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Baixo Mondego";;"Não";"---";"0";"Sim";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Quinta Santo António do Cardal, Lda.";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"744";"Quinta Santo António do Pombal";;;"Classificado em projeto";"20";"10";"0";"Lugar de Pombal, Passos";"4820-550";"Passos Faf";"Fafe";"Braga";"41.491340";"-8.155707";"253700130";"253700139";"quintadopombal@quintadopombal.com";"www.quintadopombal.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Ave";;"Não";"---";"0";"Sim";"250";"Não";"Sim";"Não";"Sim";"Sim";"Não";"Não";;;"Hotel Rural da Quinta de Santo António do Pombal,";
"Empreendimento de Turismo de Habitação";"371";"quinta são miguel de arcos";"Quinta São Miguel de Arcos";;"Por reconverter";"10";"5";"1";"rua da Igreja,209";"4480-018";"Arcos Vcd";"Vila do Conde";"Porto";"41.395934";"-8.666668";"919372202";"252652074";"ajr@quintasaomiguel.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Grande Porto";;"Não";"Local";"0";"Sim";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"ANTONIO JOSE RODRIGUES";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"1420";"Quinta Serra de São Mamede";;;"Classificado em auditoria";"4";"4";"0";"Ribeire de São João";"7320-301";"Castelo de Vide";"Castelo de Vide";"Portalegre";"39.434933";"-7.469115";"938681201";;"info@quintaserradesaomamede.com";"www.quintaserradesaomamede.com";"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Alto Alentejo";"2011-03-01-&gt;2011-09-30 Ano em causa:2011, ";"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Quinta Serra de São Mamede";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4753";"Quinta Sul América Turismo Espaço Rural";"Quinta Sul América Turismo Espaço Rural";;"Classificado em auditoria";"12";"6";"1";"Estrada de Castelo Lugar de São Miguel";"3620-317";"Moimenta da Beira";"Moimenta da Beira";"Viseu";;;"966125887";;"Anselmo_mmoreira@hotmail.com";;"TURISMO DO DOURO";"Norte";"Douro";;"Não";"Local";"0";"Sim";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"Quinta Sul América Turismo Espaço Rural Unipessoa";"Turismo de Portugal, I.P., Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4213";"Quinta Travessa- Turismo no Espaço Rural, CRL";"Quinta Travessa";;"Classificado em auditoria";"14";"7";"0";"Rua do Cruzeiro, 22";"4850-148";"Eira Vedra";"Vieira do Minho";"Braga";"41.640880";"-8.146470";"253647430";"253645068";"geral@quintatravessa.com";"www.quintatravessa.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Ave";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";"Apcer NP 4494";;"Quinta Travessa - Turismo no Espaço Rural, CRL";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"780";"Quinta Vale do Homem";;;"Classificado em auditoria";"20";"14";"0";"Rua de Valbom, nº192, Rendufe, Amares";"4720-628";"Rendufe Amr";"Amares";"Braga";"41.631273";"-8.349028";"253319410";"253319411";"info@quintavaledohomem.com";"www.quintavaledohomem.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Cávado";;"Não";"---";"0";"Sim";"50";"Não";"Sim";"Sim";"Sim";"Sim";"Não";"Sim";;;"MARIA DULCE DA SILVA GERALDO";"Turismo de Portugal, I.P., Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5588";"Quinta Vale Porcacho";"Quinta Vale Porcacho";;"Classificado em auditoria";"20";"10";"1";"Bairro Antonio Maria Diniz 50,";"3420-201";"Póvoa de Midões";"Tábua";"Coimbra";;;"917030056";;"info@quintavaleporcacho.com";"www.quintavaleporcacho.com";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Pinhal Interior Norte";;"Não";"---";"0";"Sim";"30";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"IMLO, Lda.";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"523";"Quinta Verde Sintra";;;"Classificado em auditoria";"10";"5";"1";"Estrada de Magoito. 84, Casal da Granja";"2710-252";"Sintra";"Sintra";"Lisboa";"38.831165";"-9.396174";"219616069";"219608776";"mail@quintaverdesintra.com";"www.quintaverdesintra.com";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"CESALTINA DA CONCEIÇÃO COENTRO DOMINGOS TAVARES D";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"609";"Quinta Vila Guiomar";;;"Classificado em auditoria";"12";"6";"0";"Vila Guiomar, Lugar do Santo,  Alvarenga";"4540-046";"Alvarenga Arc";"Arouca";"Aveiro";"40.969712";"-8.163276";"256951246";"256955504";"vilaguiomar@oniduo.pt";"www.vilaguiomar.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Entre Douro e Vouga";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Sim";"Não";"Não";"Sim";;;"VILA GUIOMAR TURISMO RURAL LDA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4958";"Quintadaldeia";"Quinta da Aldeia";;"Classificado em auditoria";"18";"8";"0";"Lugar Crasto- Freguesia Ribeira";"4990-372";"Ponte de Lima";"Ponte de Lima";"Viana do Castelo";;;"+351961302978";;"quintadaldeia@sapo.pt";"www.quintadaaldeiapontedelima.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"MARIA FERNANDA SOUSA COSTA CARVALHO MARTINS";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"443";"QUINTAL DE ALEM DO RIBEIRO-TURISMO RURAL,LDA";"QUINTAL DE ALEM DO RIBEIRO";;"Classificado em auditoria";"22";"9";"2";"CEIRA DO VALES";"3200-074";"Lousã";"Lousã";"Coimbra";"40.145814";"-8.253565";"239996480";"239996479";"quintal.tr.lousa@sapo.pt";"www.alemdoribeiro.com";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Pinhal Interior Norte";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"Quintal de Alem do Ribeiro Turismo Rural Lda";"Turismo de Portugal, I.P., "
"Aldeamento Turístico";"3950";"Quintas de Óbidos - Country Club";"Quintas de Óbidos - Country Club";"*****";"Classificado em auditoria";"62";"10";"0";"Quintas de Óbidos - Lg do Bom-Sucesso";"2510-665";"Vau";"Óbidos";"Leiria";"39.385363";"-9.245660";"22 606 15 40";"22 606 15 49";"geral@qdo.pt";"www.qdo.pt";"TURISMO DO OESTE";"Centro (P)";"Oeste";;"Sim";"---";"0";"Não";"0";"Não";"Sim";"Não";"Sim";"Não";"Não";"Sim";;;"QUINTAS DE OBIDOS INVESTIMENTOS TURISTICOS E IMOB";"Turismo de Portugal, I.P., "
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"3994";"Quintinha D' Arga";"Quintinha D`Arga";;"Classificado em auditoria";"14";"7";"1";"Lugar de Chão do Porto - Dem";"4910-188";"Dem";"Caminha";"Viana do Castelo";"0.000000";"0.000000";"966275591";;"geral@quintinhadarga.pt";"www.quintinhadarga.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Sim";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Quintinha d`Arga - Mabilda das Neves Martins Baptista";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4380";"Quintinha da Eira";"Laços &amp; Tradições - Agro-Turismo e Lazer, Lda.";;"Classificado em auditoria";"12";"6";"1";"Rua Circular, nº 8, Charruada";"2350-022";"Assentiz Tnv";"Torres Novas";"Santarém";"39.592015";"-8.526929";"917247448";"249820873";"info.quintinhadaeira@gmail.com";"www.quintinhadaeira.com";"TURISMO DE LISBOA E VALE DO TEJO";"Centro (P)";"Médio Tejo";;"Não";"---";"0";"Sim";"50";"Sim";"Sim";"Não";"Não";"Não";"Não";"Não";;;"LA?OS &amp; TRADI??ES AGRO-TURISMO E LAZER LDA";"Programa de Desenvolvimento Rural (PRODER), "
"Quintas da Madeira";"5565";"Quintinha de São João";;"*****";"Classificado em auditoria";"84";"42";"0";"Rua da Levada de São João, n.º4";"9000-191";"Funchal";"Funchal";"Ilha da Madeira";;;"291740920";"291740928";"info@quintinhasaojoao.com";"www.quintinhasaojoao.com";"Secretaria Regional do Turismo e Transportes - RA Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";;"Não";"---";"3";"Sim";"25";"Sim";"Sim";"Sim";"Não";"Sim";"Não";"Sim";;;"BAFILHOS SOCIEDADE DE EMPREENDIMENTOS TURISTICOS";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"4872";"Quintinha do Casal Ruivo";;;"Classificado em auditoria";"10";"5";"5";"Casal Ruivo - Aguda";"3260-032";"Aguda";"Figueiró dos Vinhos";"Leiria";;;"919758118";;"mariahelenaribeiro64@gmail.com";;"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Pinhal Interior Norte";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"QUINTINHA DO CASAL RUIVO UNIPESSOAL LDA";
"Estabelecimento Hoteleiro - Hotel";"206";"Radisson Blu Hotel Lisboa";;"****";"Classificado em auditoria";"442";"221";"2";"Avenida Marechal Craveiro Lopes, 390";"1749-009";"Lisboa";"Lisboa";"Lisboa";"38.763774";"-9.138376";"210045000";"210045001";"rad@grupo-continental.com";"www.continentalhotels.eu";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";;"Não";"---";"2";"Sim";"500";"Não";"Não";"Não";"Não";"Sim";"Não";"Não";;;"ESPACOTEIS IMOBILIARIOS TURISTICOS SA";
"Estabelecimento Hoteleiro - Hotel";"3642";"RaiHotel";"RaiHotel, Hotelaria e Turismo, Lda";"***";"Classificado em auditoria";"94";"51";"2";"Largo do Cinema, nº9";"6320-455";"Sabugal";"Sabugal";"Guarda";"40.349944";"-7.088923";"271750100";"271754300";"reservas@raihotel.pt";"www.raihotel.pt";"TURISMO SERRA DA ESTRELA";"Centro (P)";"Beira Interior Norte";"2013-02-01-&gt;2013-06-30 Ano em causa:2013, ";"Não";"---";"1";"Sim";"180";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"RAIHOTEL HOTELARIA E TURISMO LDA";
"Parque de Campismo e/ou Caravanismo";"5412(Em análise pelo Turismo de Portugal, I.P.)";"Rancho Belchior";"Rancho Belchior";"Sem atribuição de *";;"90";"0";"0";"Sitio dos Aivados 9100";"8365-086";"Algoz";"Silves";"Faro";;;"968206591";;"horacio_belchior@yahoo.com.br";;"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"HORACIO MANUEL BELCHIOR";"Programa de Desenvolvimento Rural (PRODER), "
"Estabelecimento Hoteleiro - Hotel";"3918";"REAL ABADIA CONGRESS &amp; SPA HOTEL";"REAL ABADIA CONGRESS &amp; SPA HOTEL";"****";"Classificado em auditoria";"128";"32";"1";"Rua da Escola, Capuchos";"2460-479";"Alcobaça";"Alcobaça";"Leiria";"39.534884";"-8.962251";"915827012";;"geral@realabadiahotel.pt";"www.realabadiahotel.pt/";"TURISMO DO OESTE";"Centro (P)";"Oeste";;"Não";"---";"2";"Sim";"139";"Sim";"Sim";"Sim";"Não";"Não";"Não";"Não";;;"REAL ABADIA - HOTEL RURAL LDA";"Programa Operacional Regional do Centro, "
"Estabelecimento Hoteleiro - Hotel";"1157";"Real Caparica Hotel **";"Real Caparica Hotel";"**";"Classificado em auditoria";"35";"20";"0";"Rua Mestre Manuel, 18";"2825-358";"Costa de Caparica";"Almada";"Setúbal";"38.643254";"-9.235484";"212918870";"212918879";"geral@hotel-real.pt";"www.hotel-real.pt";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Península de Setúbal";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Alminasol Actividades Hoteleiras Lda";
"Apartamento Turístico";"3459";"Real Lota";"Apartamentos Real Lota";"***";"Classificado em auditoria";"244";"52";"0";"Urbanizaçao Real Lota";"8900-037";"Vila Nova de Cacela";"Vila Real de Santo António";"Faro";"37.170405";"-7.511537";"281950570";"281951644";"reservas@real-lota.com";;"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"1";"Não";"0";"Não";"Sim";"Não";"Sim";"Não";"Não";"Não";;;"TURMUGE II - EXPLORA??O TURISTICA E HOTELEIRA LDA";
"Estabelecimento Hoteleiro - Hotel";"847";"Real Marina Hotel &amp; SPA";"Hotéis Real";"*****";"Classificado em auditoria";"288";"144";"3";"Avenida 5 de outubro";"8700-307";"Olhão";"Olhão";"Faro";"37.023756";"-7.843987";"289 091 300";"289 091 301";"jmelchior@hoteisreal.com";"www.realhotelsgroup.com";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"2010-12-08-&gt;2010-12-25 Ano em causa:2010, ";"Não";"---";"3";"Sim";"0";"Sim";"Sim";"Sim";"Não";"Sim";"Não";"Não";;;"Bernardino Gomes - Gestão Hoteira, SA";
